Name	LIMS_ID	Status	Project	Date_Received	SampleID	Organism	Sample_Type	Tissue	Sex	Strain	Injection	Comments
GT18-06907	PHI6647A129	Completed	18-chesler-002	2018-05-31	11298	Mus musculus	tissue	Striatum	M	B6	Cocaine	
GT18-06908	PHI6647A130	Completed	18-chesler-002	2018-05-31	11296	Mus musculus	tissue	Striatum	M	B6	Sham	
GT18-06909	PHI6647A131	Completed	18-chesler-002	2018-05-31	A1049	Mus musculus	tissue	Striatum	M	WSB	Sham	
GT18-06910	PHI6647A132	Completed	18-chesler-002	2018-05-31	11294	Mus musculus	tissue	Striatum	F	B6	Cocaine	
GT18-06911	PHI6647A133	Completed	18-chesler-002	2018-05-31	A387	Mus musculus	tissue	Striatum	M	WSB	Cocaine	
GT18-06912	PHI6647A134	Completed	18-chesler-002	2018-05-31	A1143	Mus musculus	tissue	Striatum	M	NOD	Cocaine	
GT18-06913	PHI6647A135	Completed	18-chesler-002	2018-05-31	A1523	Mus musculus	tissue	Striatum	F	129	Sham	
GT18-06914	PHI6647A136	Completed	18-chesler-002	2018-05-31	A1142	Mus musculus	tissue	Striatum	F	NOD	Cocaine	
GT18-06915	PHI6647A137	Completed	18-chesler-002	2018-05-31	A1483	Mus musculus	tissue	Striatum	F	WSB	Sham	
GT18-06916	PHI6647A138	Completed	18-chesler-002	2018-05-31	11300	Mus musculus	tissue	Striatum	M	B6	Cocaine	
GT18-06917	PHI6647A139	Completed	18-chesler-002	2018-05-31	11307	Mus musculus	tissue	Striatum	F	NOD	Sham	
GT18-06918	PHI6647A140	Completed	18-chesler-002	2018-05-31	A1134	Mus musculus	tissue	Striatum	M	NZO	Cocaine	
GT18-06919	PHI6647A141	Completed	18-chesler-002	2018-05-31	11291	Mus musculus	tissue	Striatum	F	B6	Sham	
GT18-06920	PHI6647A142	Completed	18-chesler-002	2018-05-31	A1486	Mus musculus	tissue	Striatum	M	WSB	Sham	
GT18-06921	PHI6647A143	Completed	18-chesler-002	2018-05-31	12090	Mus musculus	tissue	Striatum	F	NZO	Cocaine	
GT18-06922	PHI6647A144	Completed	18-chesler-002	2018-05-31	11500	Mus musculus	tissue	Striatum	M	129	Cocaine	
GT18-06923	PHI6647A145	Completed	18-chesler-002	2018-05-31	A719	Mus musculus	tissue	Striatum	M	CAST	Sham	
GT18-06924	PHI6647A146	Completed	18-chesler-002	2018-05-31	A1081	Mus musculus	tissue	Striatum	M	B6	Sham	
GT18-06925	PHI6647A147	Completed	18-chesler-002	2018-05-31	A379	Mus musculus	tissue	Striatum	F	WSB	Cocaine	
GT18-06926	PHI6647A148	Completed	18-chesler-002	2018-05-31	A1482	Mus musculus	tissue	Striatum	M	WSB	Cocaine	
GT18-06927	PHI6647A149	Completed	18-chesler-002	2018-05-31	14397	Mus musculus	tissue	Striatum	F	NZO	Cocaine	
GT18-06928	PHI6647A150	Completed	18-chesler-002	2018-05-31	A1394	Mus musculus	tissue	Striatum	F	CAST	Sham	
GT18-06929	PHI6647A151	Completed	18-chesler-002	2018-05-31	A1406	Mus musculus	tissue	Striatum	F	PWK	Cocaine	
GT18-06930	PHI6647A152	Completed	18-chesler-002	2018-05-31	11310	Mus musculus	tissue	Striatum	M	NOD	Cocaine	
